GLORIA_ID,lat,lon,label,Date_Time_UTC,Water_body_type,Country,Bleu,Vert,Rouge,NIR
GID_2250,49.965435,-2.3132668,0.452,2018-04-28T11:05,3,France,0.006836106,0.0045460863,0.0006410962,6.506331e-05
GID_2251,49.7143,-2.8534834,0.487,2018-04-28T16:12,3,France,0.0035262108,0.0017515961,0.00023471848,2.6871454e-05
GID_2252,48.344265,-4.68155,1.17375,2018-04-30T07:13,3,United Kingdom of Great Britain and Northern Ireland (the),0.0027470621,0.0029682121,0.00069281424,0.00014126109
GID_2253,48.344234,-4.6808333,1.117,2018-04-30T10:33,3,United Kingdom of Great Britain and Northern Ireland (the),0.0037966548,0.004533832,0.000890827,7.709032e-05
GID_2254,48.344017,-4.68085,0.899,2018-04-30T15:59,3,United Kingdom of Great Britain and Northern Ireland (the),0.0037327409,0.004434296,0.0010173132,0.00016195013
GID_2255,48.3235,-5.2558,0.55222225,2018-05-01T07:14,3,United Kingdom of Great Britain and Northern Ireland (the),0.0033362033,0.0028693595,0.00053879747,6.139737e-05
GID_2256,48.318134,-5.108383,1.079,2018-05-01T09:56,3,United Kingdom of Great Britain and Northern Ireland (the),0.0024614236,0.0018589579,0.0003130685,2.6949381e-05
GID_2257,48.30887,-4.6281333,0.729,2018-05-01T14:21,3,United Kingdom of Great Britain and Northern Ireland (the),0.0032109094,0.0032577007,0.0006505905,6.656441e-05
GID_7140,30.7268,114.281,19.1,2021-04-16T02:20,1,China,0.0177012127706806,0.0271709318846484,0.0170996070857932,0.0116469587354649
GID_7141,30.7326,114.2815,19.5,2021-04-16T02:44,1,China,0.015081522407388,0.0230360864631209,0.0147250153348622,0.0106156347042294
GID_7142,30.7286,114.2888,18.4,2021-04-16T03:15,1,China,0.0121371559601879,0.0189712692165539,0.0110899164346433,0.0068436625529515
GID_7143,30.7388,114.2612,29.2,2021-04-16T03:44,1,China,0.0106856628791899,0.0131748461891471,0.0098262261864936,0.0081137189988248
GID_7144,30.735,114.268,18.2,2021-04-16T04:01,1,China,0.0149669308483618,0.0210211848835775,0.0143143955816851,0.0111376629175708
GID_7145,30.7214,114.281,33.3,2021-04-16T04:25,1,China,0.0229151287063711,0.037605129953753,0.0243952696771257,0.0130698039267064
GID_7146,30.5459,114.3738,4.75,2021-04-16T07:15,1,China,0.009858057175112,0.0149541984529145,0.0077922260137792,0.0044658877031585
GID_7147,30.5488,114.3835,4.47,2021-04-16T07:36,1,China,0.011978001017096,0.0176057198048255,0.0095301979923426,0.0057614089399266
GID_7148,30.5576,114.3856,4.66,2021-04-16T07:56,1,China,0.0112427051800115,0.016692170431478,0.00911002894258,0.005398535669677
GID_7149,30.5663,114.3825,3.13,2021-04-16T08:16,1,China,0.0127610433371082,0.0196779171638819,0.0097848459012897,0.0056213525900057
GID_7150,30.5589,114.3772,3.37,2021-04-16T08:36,1,China,0.0115737474616426,0.0165139168952151,0.0088967613188369,0.005694563863828
GID_7151,30.5430336,114.3773017,6.97,2021-04-29T01:37,1,China,0.0051484426051044,0.009509618102116,0.0041195267622871,0.0007494890253653
